Group,Match type,Train / Val / Test members,# Design IDs,# Base families,Cells range,Demands range,Signature
G01,Exact normalized serialized-graph match,1 / 0 / 1,2,2,150–150,149–149,020718e0bc…
G02,Exact normalized serialized-graph match,83 / 0 / 30,6,5,80–80,80–80,061736da2f…
G03,Exact normalized serialized-graph match,1 / 1 / 0,2,2,109–109,244–244,1483f9ca3f…
G04,Exact normalized serialized-graph match,2 / 1 / 0,2,2,94–94,94–94,16632405cc…
G05,Exact normalized serialized-graph match,1 / 0 / 1,2,2,160–160,159–159,2c61a558ae…
G06,Exact normalized serialized-graph match,3 / 4 / 26,3,3,120–120,120–120,316f35578e…
G07,Exact normalized serialized-graph match,1 / 0 / 1,2,2,142–142,142–142,3243a7df17…
G08,Exact normalized serialized-graph match,1 / 2 / 0,2,2,95–95,95–95,3c0e20ecd3…
G09,Exact normalized serialized-graph match,1 / 1 / 0,2,2,129–129,252–252,3f83bc1f9b…
G10,Exact normalized serialized-graph match,2 / 1 / 0,3,3,121–121,193–193,4095b3f09e…
G11,Exact normalized serialized-graph match,5 / 0 / 2,2,2,106–106,106–106,456bb2c27f…
G12,Exact normalized serialized-graph match,1 / 0 / 1,2,2,144–144,144–144,486dcea19f…
G13,Exact normalized serialized-graph match,1 / 0 / 1,2,2,104–104,104–104,4f9f50c0b7…
G14,Exact normalized serialized-graph match,3 / 1 / 0,2,2,116–116,116–116,50dae925d2…
G15,Exact normalized serialized-graph match,1 / 2 / 0,3,3,100–100,99–99,7ac8f83639…
G16,Exact normalized serialized-graph match,1 / 0 / 1,2,2,146–146,146–146,7c3eedf7a8…
G17,Exact normalized serialized-graph match,2 / 1 / 0,3,3,94–94,149–149,7e78adcb4c…
G18,Exact normalized serialized-graph match,3 / 3 / 1,4,4,85–85,85–85,7fa0b05385…
G19,Exact normalized serialized-graph match,1 / 1 / 0,2,2,99–99,99–99,8209977d31…
G20,Exact normalized serialized-graph match,1 / 0 / 1,2,2,73–73,152–152,89417cac35…
G21,Exact normalized serialized-graph match,1 / 0 / 1,2,2,89–89,190–190,9290cd713c…
G22,Exact normalized serialized-graph match,22 / 0 / 10,4,4,140–140,140–140,9fbcf8c146…
G23,Exact normalized serialized-graph match,1 / 1 / 0,2,2,100–100,201–201,a08da841c6…
G24,Exact normalized serialized-graph match,1 / 1 / 0,2,2,98–98,98–98,a27ad34967…
G25,Exact normalized serialized-graph match,4 / 0 / 1,4,4,83–83,83–83,a49e5cdd5e…
G26,Exact normalized serialized-graph match,60 / 21 / 19,6,5,100–100,100–100,cf234a75e8…
G27,Exact normalized serialized-graph match,3 / 1 / 6,5,5,130–130,130–130,dfcb62993c…
G28,Exact normalized serialized-graph match,1 / 0 / 1,2,2,143–143,143–143,e455aa5eea…
G29,Exact normalized serialized-graph match,44 / 12 / 12,10,8,90–90,90–90,eec9588b79…
G30,Exact normalized serialized-graph match,14 / 0 / 15,6,5,150–150,150–150,f29005b9dd…
G31,Exact normalized serialized-graph match,12 / 19 / 29,4,4,110–110,110–110,f367d398fd…
G32,Exact normalized serialized-graph match,1 / 0 / 1,2,2,118–118,118–118,fd5433bf0f…
