Group,Train members,Validation members,Test members,# Design IDs,# Base families,Cells range,Demands range,Dedup action,Signature
S01,3,1,0,3,3,94–94,94–94,no test member,029c6a4abd…
S02,3,1,0,3,3,63–63,147–147,no test member,15d9e0bb87…
S03,48,13,12,10,8,90–90,90–90,remove test members with train match,18793c0427…
S04,1,1,0,2,2,99–99,99–99,no test member,1a7adbfc06…
S05,3,1,0,2,2,116–116,116–116,no test member,1b53d2cbb3…
S06,16,0,15,6,5,150–150,150–150,remove test members with train match,1d5d16424b…
S07,1,0,1,2,2,89–89,190–190,remove test members with train match,1ea917b71b…
S08,2,0,1,2,2,144–144,144–144,remove test members with train match,281aa30e6f…
S09,1,1,0,2,2,135–135,135–135,no test member,2a24cc1791…
S10,1,0,1,2,2,110–110,136–136,remove test members with train match,2b4fe17cf6…
S11,1,0,1,2,2,72–72,168–168,remove test members with train match,2c745fe015…
S12,1,3,0,2,2,112–112,112–112,no test member,349c7c3d9b…
S13,66,23,20,6,5,100–100,100–100,remove test members with train match,3d80856d8a…
S14,1,0,1,2,2,142–142,142–142,remove test members with train match,3e0016fb98…
S15,1,0,1,2,2,66–66,154–154,remove test members with train match,4017f95c04…
S16,1,1,0,2,2,63–63,147–147,no test member,4137673ed5…
S17,1,1,0,2,2,129–129,252–252,no test member,41ec294718…
S18,22,0,11,4,4,140–140,140–140,remove test members with train match,453b760090…
S19,1,0,1,2,2,66–66,154–154,remove test members with train match,47aa9bf067…
S20,1,1,0,2,2,109–109,244–244,no test member,5272a12b36…
S21,5,0,1,4,4,60–60,140–140,remove test members with train match,554e875523…
S22,2,0,1,3,3,143–143,143–143,remove test members with train match,61750cee55…
S23,1,0,2,2,2,84–84,84–84,remove test members with train match,6598c9a52b…
S24,85,0,30,6,5,80–80,80–80,remove test members with train match,65a5be956f…
S25,4,1,0,3,3,98–98,98–98,no test member,6cc1a87f34…
S26,1,0,1,2,2,66–66,154–154,remove test members with train match,729311b761…
S27,2,0,1,2,2,104–104,104–104,remove test members with train match,7ea9b29f7d…
S28,3,1,6,5,5,130–130,130–130,remove test members with train match,802ceda59d…
S29,1,0,1,2,2,66–66,174–174,remove test members with train match,831e976068…
S30,2,0,1,3,3,75–75,175–175,remove test members with train match,840f97d31e…
S31,1,1,0,2,2,138–138,138–138,no test member,8e443ce533…
S32,2,1,0,3,3,121–121,193–193,no test member,8f74f97461…
S33,1,0,1,2,2,140–140,139–139,remove test members with train match,9170603697…
S34,1,0,1,2,2,160–160,159–159,remove test members with train match,95ce553ffb…
S35,1,2,0,2,2,95–95,95–95,no test member,a0731e7737…
S36,0,1,1,2,2,114–114,114–114,retain for train-dedup sensitivity,a33140aa8c…
S37,1,0,1,2,2,118–118,118–118,remove test members with train match,ab4e5daea8…
S38,3,3,2,5,5,85–85,85–85,remove test members with train match,b51e5a17e3…
S39,4,0,2,5,5,83–83,83–83,remove test members with train match,baea74ed7d…
S40,1,0,1,2,2,145–145,145–145,remove test members with train match,bb5a464c71…
S41,1,2,0,3,3,100–100,99–99,no test member,caf65d285f…
S42,6,2,0,5,5,63–63,147–147,no test member,d6e916a49e…
S43,1,0,1,2,2,150–150,149–149,remove test members with train match,d7195a202a…
S44,0,1,1,2,2,111–111,111–111,retain for train-dedup sensitivity,d9bd4d119f…
S45,1,0,1,2,2,146–146,146–146,remove test members with train match,dd29cbc435…
S46,2,1,0,2,2,105–105,245–245,no test member,e082ab9a55…
S47,2,1,0,3,3,94–94,149–149,no test member,e0e105f7a5…
S48,14,20,33,5,5,110–110,110–110,remove test members with train match,e1d1f483fc…
S49,5,4,26,3,3,120–120,120–120,remove test members with train match,e2c89b9499…
S50,1,0,1,2,2,69–69,161–161,remove test members with train match,e42aa9b685…
S51,1,1,0,2,2,100–100,201–201,no test member,e5835afccd…
S52,5,0,2,2,2,106–106,106–106,remove test members with train match,ef696c900a…
S53,1,0,1,2,2,73–73,152–152,remove test members with train match,f30b0c3ca9…
S54,1,1,0,2,2,63–63,147–147,no test member,fbc9582b63…
